2025 Ladder [Recent Form],Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,MR
1,Adelaide,2025,23,18,,5,11-0-1,7-0-4,339.244 (58%),2278,234.231 (50%),1635,139.3,72,1 (78.26)
2,Geelong,2025,23,17,,6,9-0-2,8-0-4,356.289 (55%),2425,249.220 (53%),1714,141.5,68,2 (73.91)
3,Brisbane Lions,2025,23,16,1,6,7-0-4,2002-09-01 00:00:00,297.279 (52%),2061,263.226 (54%),1804,114.2,66,3 (71.74)
4,Collingwood,2025,23,16,,7,9-0-3,7-0-4,286.275 (51%),1991,236.211 (53%),1627,122.4,64,4 (69.57)
5,Greater Western Sydney,2025,23,16,,7,8-0-3,8-0-4,312.242 (56%),2114,259.280 (48%),1834,115.3,64,5 (69.57)
6,Fremantle,2025,23,16,,7,8-0-3,8-0-4,288.250 (54%),1978,265.225 (54%),1815,109,64,6 (69.57)
7,Gold Coast,2025,23,15,,8,9-0-2,6-0-6,317.271 (54%),2173,252.228 (53%),1740,124.9,60,7 (65.22)
8,Hawthorn,2025,23,15,,8,10-0-1,5-0-7,300.245 (55%),2045,240.251 (49%),1691,120.9,60,8 (65.22)
9,Western Bulldogs,2025,23,14,,9,7-0-5,7-0-4,369.279 (57%),2493,265.230 (54%),1820,137,56,9 (60.87)
10,Sydney,2025,23,12,,11,5-0-6,7-0-5,264.261 (50%),1845,276.246 (53%),1902,97,48,10 (52.17)
11,Carlton,2025,23,9,,14,5-0-7,4-0-7,259.245 (51%),1799,274.217 (56%),1861,96.7,36,11 (39.13)
12,St Kilda,2025,23,9,,14,5-0-7,4-0-7,268.231 (54%),1839,301.271 (53%),2077,88.5,36,12 (39.13)
13,Port Adelaide,2025,23,9,,14,7-0-5,2-0-9,244.241 (50%),1705,310.276 (53%),2136,79.8,36,13 (39.13)
14,Melbourne,2025,23,7,,16,5-0-7,2-0-9,271.276 (50%),1902,300.238 (56%),2038,93.3,28,14 (30.43)
15,Essendon,2025,23,6,,17,4-0-7,2-0-10,220.215 (51%),1535,324.265 (55%),2209,69.5,24,15 (26.09)
16,North Melbourne,2025,23,5,1,17,2008-03-01 00:00:00,2-0-9,267.203 (57%),1805,347.283 (55%),2365,76.3,22,16 (23.91)
17,Richmond,2025,23,5,,18,4-0-8,1-0-10,204.225 (48%),1449,318.289 (52%),2197,66,20,17 (21.74)
18,West Coast,2025,23,1,,22,1-0-10,0-0-12,209.212 (50%),1466,357.296 (55%),2438,60.1,4,18 (4.35)
2024 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,MR
1,Sydney,2024,23,17,,6,9-0-2,8-0-4,328.274 (54%),2242,252.257 (50%),1769,126.7,68,1 (73.91)
2,Port Adelaide,2024,23,16,,7,9-0-3,7-0-4,284.307 (48%),2011,253.234 (52%),1752,114.8,64,2 (69.57)
3,Geelong,2024,23,15,,8,8-0-3,7-0-5,321.238 (57%),2164,282.236 (54%),1928,112.2,60,3 (65.22)
4,Greater Western Sydney,2024,23,15,,8,9-0-2,6-0-6,303.216 (58%),2034,264.280 (49%),1864,109.1,60,4 (65.22)
5,Brisbane Lions,2024,23,14,1,8,8-0-4,2004-06-01 00:00:00,304.306 (50%),2130,254.223 (53%),1747,121.9,58,5 (63.04)
6,Western Bulldogs,2024,23,14,,9,7-0-5,7-0-4,312.299 (51%),2171,255.206 (55%),1736,125.1,56,6 (60.87)
7,Hawthorn,2024,23,14,,9,8-0-3,6-0-6,306.254 (55%),2090,256.227 (53%),1763,118.5,56,7 (60.87)
8,Carlton,2024,23,13,,10,6-0-5,7-0-5,316.255 (55%),2151,285.242 (54%),1952,110.2,52,8 (56.52)
9,Collingwood,2024,23,12,2,9,8-0-4,2005-04-02 00:00:00,288.263 (52%),1991,283.245 (54%),1943,102.5,52,9 (56.52)
10,Fremantle,2024,23,12,1,10,2004-07-01 00:00:00,5-0-6,286.248 (54%),1964,253.237 (52%),1755,111.9,50,10 (54.35)
11,Essendon,2024,23,11,1,11,2004-06-01 00:00:00,5-0-7,275.242 (53%),1892,298.236 (56%),2024,93.5,46,11 (50.00)
12,St Kilda,2024,23,11,,12,7-0-4,4-0-8,254.224 (53%),1748,253.240 (51%),1758,99.4,44,12 (47.83)
13,Gold Coast,2024,23,11,,12,9-0-3,2-0-9,281.239 (54%),1925,287.221 (56%),1943,99.1,44,13 (47.83)
14,Melbourne,2024,23,11,,12,6-0-5,5-0-7,259.231 (53%),1785,261.246 (51%),1812,98.5,44,14 (47.83)
15,Adelaide,2024,23,8,1,14,2006-05-01 00:00:00,3-0-8,279.232 (55%),1906,274.279 (50%),1923,99.1,34,15 (36.96)
16,West Coast,2024,23,5,,18,4-0-8,1-0-10,229.220 (51%),1594,347.257 (57%),2339,68.1,20,16 (21.74)
17,North Melbourne,2024,23,3,,20,2-0-9,1-0-11,244.155 (61%),1619,374.306 (55%),2550,63.5,12,17 (13.04)
18,Richmond,2024,23,2,,21,1-0-11,1-0-10,211.239 (47%),1505,349.270 (56%),2364,63.7,8,18 (8.70)
,,,,,,,,,,,,,,,
2023 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Collingwood,2023,23,18,,5,10-0-2,8-0-3,317.240 (57%),2142,239.253 (49%),1687,127,72,
2,Brisbane Lions,2023,23,17,,6,12-0-0,5-0-6,316.284 (53%),2180,260.211 (55%),1771,123.1,68,
3,Port Adelaide,2023,23,17,,6,10-0-2,7-0-4,310.289 (52%),2149,280.226 (55%),1906,112.7,68,
4,Melbourne,2023,23,16,,7,9-0-2,7-0-5,305.249 (55%),2079,240.220 (52%),1660,125.2,64,
5,Carlton,2023,23,13,1,9,5-0-6,2003-08-01 00:00:00,275.272 (50%),1922,243.239 (50%),1697,113.3,54,
6,St Kilda,2023,23,13,,10,6-0-5,7-0-5,260.215 (55%),1775,235.237 (50%),1647,107.8,52,
7,Greater Western Sydney,2023,23,13,,10,6-0-6,7-0-4,294.254 (54%),2018,269.271 (50%),1885,107.1,52,
8,Sydney,2023,23,12,1,10,2005-05-01 00:00:00,7-0-5,299.256 (54%),2050,271.237 (53%),1863,110,50,
9,Western Bulldogs,2023,23,12,,11,5-0-6,7-0-5,276.263 (51%),1919,256.230 (53%),1766,108.7,48,
10,Adelaide,2023,23,11,,12,8-0-4,3-0-8,319.279 (53%),2193,272.245 (53%),1877,116.8,44,
11,Essendon,2023,23,11,,12,7-0-5,4-0-7,267.236 (53%),1838,300.250 (55%),2050,89.7,44,
12,Geelong,2023,23,10,1,12,8-0-4,2008-02-01 00:00:00,306.252 (55%),2088,268.247 (52%),1855,112.6,42,
13,Richmond,2023,23,10,1,12,2005-06-01 00:00:00,4-0-7,265.266 (50%),1856,287.261 (52%),1983,93.6,42,
14,Fremantle,2023,23,10,,13,5-0-7,5-0-6,271.209 (56%),1835,279.224 (55%),1898,96.7,40,
15,Gold Coast,2023,23,9,,14,7-0-4,2-0-10,265.249 (52%),1839,294.242 (55%),2006,91.7,36,
16,Hawthorn,2023,23,7,,16,5-0-6,2-0-10,243.228 (52%),1686,311.235 (57%),2101,80.2,28,
17,North Melbourne,2023,23,3,,20,2-0-9,1-0-11,243.199 (55%),1657,338.290 (54%),2318,71.5,12,
18,West Coast,2023,23,3,,20,2-0-9,1-0-11,204.194 (51%),1418,393.316 (55%),2674,53,12,
,,,,,,,,,,,,,,,
2022 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Geelong,2022,22,18,,4,10-0-1,8-0-3,310.286 (52%),2146,219.174 (56%),1488,144.2,72,
2,Melbourne,2022,22,16,,6,8-0-3,8-0-3,279.262 (52%),1936,212.211 (50%),1483,130.5,64,
3,Sydney,2022,22,16,,6,9-0-2,7-0-4,300.267 (53%),2067,232.224 (51%),1616,127.9,64,
4,Collingwood,2022,22,16,,6,8-0-3,8-0-3,268.231 (54%),1839,259.209 (55%),1763,104.3,64,
5,Fremantle,2022,22,15,1,6,7-0-4,2002-08-01 00:00:00,251.233 (52%),1739,214.202 (51%),1486,117,62,
6,Brisbane Lions,2022,22,15,,7,9-0-2,6-0-5,319.233 (58%),2147,262.227 (54%),1799,119.3,60,
7,Richmond,2022,22,13,1,8,2001-09-01 00:00:00,4-0-7,318.257 (55%),2165,254.256 (50%),1780,121.6,54,
8,Western Bulldogs,2022,22,12,,10,7-0-4,5-0-6,287.251 (53%),1973,265.222 (54%),1812,108.9,48,
9,Carlton,2022,22,12,,10,8-0-3,4-0-7,268.249 (52%),1857,248.226 (52%),1714,108.3,48,
10,St Kilda,2022,22,11,,11,5-0-6,6-0-5,247.221 (53%),1703,247.233 (51%),1715,99.3,44,
11,Port Adelaide,2022,22,10,,12,7-0-4,3-0-8,261.240 (52%),1806,233.240 (49%),1638,110.3,40,
12,Gold Coast,2022,22,10,,12,7-0-4,3-0-8,271.245 (53%),1871,261.254 (51%),1820,102.8,40,
13,Hawthorn,2022,22,8,,14,6-0-5,2-0-9,262.215 (55%),1787,291.245 (54%),1991,89.8,32,
14,Adelaide,2022,22,8,,14,5-0-6,3-0-8,249.227 (52%),1721,293.228 (56%),1986,86.7,32,
15,Essendon,2022,22,7,,15,5-0-6,2-0-9,249.243 (51%),1737,307.245 (56%),2087,83.2,28,
16,Greater Western Sydney,2022,22,6,,16,4-0-7,2-0-9,237.209 (53%),1631,280.247 (53%),1927,84.6,24,
17,West Coast,2022,22,2,,20,1-0-10,1-0-10,212.157 (57%),1429,355.259 (58%),2389,59.8,8,
18,North Melbourne,2022,22,2,,20,2-0-9,0-0-11,193.179 (52%),1337,349.303 (54%),2397,55.8,8,
,,,,,,,,,,,,,,,
2021 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Melbourne,2021,22,17,1,4,2003-07-01 00:00:00,10-0-1,270.268 (50%),1888,211.177 (54%),1443,130.8,70,
2,Port Adelaide,2021,22,17,,5,8-0-3,9-0-2,276.228 (55%),1884,210.232 (48%),1492,126.3,68,
3,Geelong,2021,22,16,,6,9-0-2,7-0-4,269.231 (54%),1845,205.226 (48%),1456,126.7,64,
4,Brisbane Lions,2021,22,15,,7,9-0-2,6-0-5,313.253 (55%),2131,231.213 (52%),1599,133.3,60,
5,Western Bulldogs,2021,22,15,,7,7-0-4,8-0-3,288.266 (52%),1994,215.211 (50%),1501,132.8,60,
6,Sydney,2021,22,15,,7,9-0-2,6-0-5,293.228 (56%),1986,237.234 (50%),1656,119.9,60,
7,Greater Western Sydney,2021,22,11,1,10,4-0-7,2003-07-01 00:00:00,258.220 (54%),1768,255.243 (51%),1773,99.7,46,
8,Essendon,2021,22,11,,11,5-0-6,6-0-5,287.231 (55%),1953,261.224 (54%),1790,109.1,44,
9,West Coast,2021,22,10,,12,7-0-4,3-0-8,257.210 (55%),1752,274.236 (54%),1880,93.2,40,
10,St Kilda,2021,22,10,,12,5-0-6,5-0-6,237.222 (52%),1644,260.236 (52%),1796,91.5,40,
11,Fremantle,2021,22,10,,12,7-0-4,3-0-8,219.264 (45%),1578,265.235 (53%),1825,86.5,40,
12,Richmond,2021,22,9,1,12,2004-06-01 00:00:00,3-0-8,253.225 (53%),1743,258.232 (53%),1780,97.9,38,
13,Carlton,2021,22,8,,14,3-0-8,5-0-6,250.246 (50%),1746,288.244 (54%),1972,88.5,32,
14,Hawthorn,2021,22,7,2,13,4-0-7,2006-03-02 00:00:00,239.195 (55%),1629,282.220 (56%),1912,85.2,32,
15,Adelaide,2021,22,7,,15,5-0-6,2-0-9,230.236 (49%),1616,287.249 (54%),1971,82,28,
16,Gold Coast,2021,22,7,,15,4-0-7,3-0-8,201.224 (47%),1430,268.255 (51%),1863,76.8,28,
17,Collingwood,2021,22,6,,16,1-0-10,5-0-6,225.207 (52%),1557,269.204 (57%),1818,85.6,24,
18,North Melbourne,2021,22,4,1,17,2009-01-01 00:00:00,3-0-8,210.198 (51%),1458,299.281 (52%),2075,70.3,18,
,,,,,,,,,,,,,,,
2020 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Port Adelaide,2020,17,14,,3,8-0-1,6-0-2,168.177 (49%),1185,127.107 (54%),869,136.4,56,
2,Brisbane Lions,2020,17,14,,3,9-0-0,5-0-3,165.194 (46%),1184,139.114 (55%),948,124.9,56,
3,Richmond,2020,17,12,1,4,7-0-1,2003-05-01 00:00:00,164.151 (52%),1135,124.130 (49%),874,129.9,50,
4,Geelong,2020,17,12,,5,6-0-3,6-0-2,182.141 (56%),1233,129.127 (50%),901,136.8,48,
5,West Coast,2020,17,12,,5,9-0-0,3-0-5,162.123 (57%),1095,133.138 (49%),936,117,48,
6,St Kilda,2020,17,10,,7,6-0-2,4-0-5,171.133 (56%),1159,142.145 (49%),997,116.2,40,
7,Western Bulldogs,2020,17,10,,7,5-0-3,5-0-4,159.149 (52%),1103,149.140 (52%),1034,106.7,40,
8,Collingwood,2020,17,9,1,7,2002-05-01 00:00:00,4-0-5,139.131 (51%),965,131.95 (58%),881,109.5,38,
9,Melbourne,2020,17,9,,8,4-0-5,5-0-3,155.133 (54%),1063,142.134 (51%),986,107.8,36,
10,Greater Western Sydney,2020,17,8,,9,5-0-3,3-0-6,145.137 (51%),1007,151.147 (51%),1053,95.6,32,
11,Carlton,2020,17,7,,10,2-0-6,5-0-4,146.141 (51%),1017,158.130 (55%),1078,94.3,28,
12,Fremantle,2020,17,7,,10,4-0-6,3-0-4,127.104 (55%),866,131.138 (49%),924,93.7,28,
13,Essendon,2020,17,6,1,10,2-0-6,2004-04-01 00:00:00,136.122 (53%),938,172.153 (53%),1185,79.2,26,
14,Gold Coast,2020,17,5,1,11,2005-04-01 00:00:00,1-0-6,142.144 (50%),996,160.139 (54%),1099,90.6,22,
15,Hawthorn,2020,17,5,,12,3-0-4,2-0-8,147.122 (55%),1004,175.144 (55%),1194,84.1,20,
16,Sydney,2020,17,5,,12,3-0-5,2-0-7,128.122 (51%),890,153.159 (49%),1077,82.6,20,
17,North Melbourne,2020,17,3,,14,2-0-6,1-0-8,124.114 (52%),858,170.185 (48%),1205,71.2,12,
18,Adelaide,2020,17,3,,14,1-0-8,2-0-6,116.130 (47%),826,190.143 (57%),1283,64.4,12,
2019 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Geelong,2019,22,16,,6,9-0-2,7-0-4,291.238 (55%),1984,203.244 (45%),1462,135.7,64,
2,Brisbane Lions,2019,22,16,,6,10-0-1,6-0-5,288.276 (51%),2004,243.236 (51%),1694,118.3,64,
3,Richmond,2019,22,16,,6,9-0-2,7-0-4,275.242 (53%),1892,244.200 (55%),1664,113.7,64,
4,Collingwood,2019,22,15,,7,6-0-5,9-0-2,274.241 (53%),1885,230.221 (51%),1601,117.7,60,
5,West Coast,2019,22,15,,7,8-0-3,7-0-4,282.210 (57%),1902,239.257 (48%),1691,112.5,60,
6,Greater Western Sydney,2019,22,13,,9,7-0-4,6-0-5,283.228 (55%),1926,243.211 (54%),1669,115.4,52,
7,Western Bulldogs,2019,22,12,,10,7-0-4,5-0-6,279.267 (51%),1941,264.226 (54%),1810,107.2,48,
8,Essendon,2019,22,12,,10,7-0-4,5-0-6,247.220 (53%),1702,253.266 (49%),1784,95.4,48,
9,Hawthorn,2019,22,11,,11,7-0-4,4-0-7,250.242 (51%),1742,228.234 (49%),1602,108.7,44,
10,Port Adelaide,2019,22,11,,11,6-0-5,5-0-6,257.264 (49%),1806,249.220 (53%),1714,105.4,44,
11,Adelaide,2019,22,10,,12,5-0-6,5-0-6,256.240 (52%),1776,252.249 (50%),1761,100.9,40,
12,North Melbourne,2019,22,10,,12,6-0-5,4-0-7,265.234 (53%),1824,265.244 (52%),1834,99.5,40,
13,Fremantle,2019,22,9,,13,7-0-4,2-0-9,225.229 (50%),1579,245.248 (50%),1718,91.9,36,
14,St Kilda,2019,22,9,,13,6-0-5,3-0-8,233.247 (49%),1645,294.197 (60%),1961,83.9,36,
15,Sydney,2019,22,8,,14,5-0-6,3-0-8,248.218 (53%),1706,246.270 (48%),1746,97.7,32,
16,Carlton,2019,22,7,,15,4-0-7,3-0-8,231.223 (51%),1609,276.249 (53%),1905,84.5,28,
17,Melbourne,2019,22,5,,17,2-0-9,3-0-8,223.231 (49%),1569,297.213 (58%),1995,78.6,20,
18,Gold Coast,2019,22,3,,19,2-0-9,1-0-10,194.187 (51%),1351,330.252 (57%),2232,60.5,12,
2018 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Richmond,2018,22,18,,4,11-0-0,7-0-4,311.277 (53%),2143,232.182 (56%),1574,136.1,72,
2,West Coast,2018,22,16,,6,8-0-3,8-0-3,295.242 (55%),2012,241.211 (53%),1657,121.4,64,
3,Collingwood,2018,22,15,,7,7-0-4,8-0-3,300.246 (55%),2046,251.193 (57%),1699,120.4,60,
4,Hawthorn,2018,22,15,,7,8-0-3,7-0-4,290.232 (56%),1972,236.226 (51%),1642,120.1,60,
5,Melbourne,2018,22,14,,8,6-0-5,8-0-3,336.283 (54%),2299,256.213 (55%),1749,131.4,56,
6,Sydney,2018,22,14,,8,5-0-6,9-0-2,268.214 (56%),1822,231.278 (45%),1664,109.5,56,
7,Greater Western Sydney,2018,22,13,1,8,8-0-3,2005-05-01 00:00:00,268.290 (48%),1898,239.227 (51%),1661,114.3,54,
8,Geelong,2018,22,13,,9,8-0-3,5-0-6,298.257 (54%),2045,216.258 (46%),1554,131.6,52,
9,North Melbourne,2018,22,12,,10,7-0-4,5-0-6,285.240 (54%),1950,259.236 (52%),1790,108.9,48,
10,Port Adelaide,2018,22,12,,10,7-0-4,5-0-6,259.226 (53%),1780,241.208 (54%),1654,107.6,48,
11,Essendon,2018,22,12,,10,7-0-4,5-0-6,280.252 (53%),1932,264.254 (51%),1838,105.1,48,
12,Adelaide,2018,22,12,,10,8-0-3,4-0-7,279.267 (51%),1941,268.257 (51%),1865,104.1,48,
13,Western Bulldogs,2018,22,8,,14,5-0-6,3-0-8,224.231 (49%),1575,300.237 (56%),2037,77.3,32,
14,Fremantle,2018,22,8,,14,6-0-5,2-0-9,224.212 (51%),1556,294.277 (51%),2041,76.2,32,
15,Brisbane Lions,2018,22,5,,17,2-0-9,3-0-8,266.229 (54%),1825,297.267 (53%),2049,89.1,20,
16,St Kilda,2018,22,4,1,17,2008-02-01 00:00:00,2-0-9,225.256 (47%),1606,310.265 (54%),2125,75.6,18,
17,Gold Coast,2018,22,4,,18,1-0-10,3-0-8,181.222 (45%),1308,311.316 (50%),2182,59.9,16,
18,Carlton,2018,22,2,,20,1-0-10,1-0-10,192.201 (49%),1353,335.272 (55%),2282,59.3,8,
2017 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Adelaide,2017,22,15,1,6,8-0-3,2003-07-01 00:00:00,354.291 (55%),2415,260.216 (55%),1776,136,62,
2,Geelong,2017,22,15,1,6,9-0-2,2004-06-01 00:00:00,313.256 (55%),2134,260.258 (50%),1818,117.4,62,
3,Richmond,2017,22,15,,7,9-0-2,6-0-5,287.270 (52%),1992,242.232 (51%),1684,118.3,60,
4,Greater Western Sydney,2017,22,14,2,6,2001-09-01 00:00:00,2005-05-01 00:00:00,302.269 (53%),2081,262.240 (52%),1812,114.8,60,
5,Port Adelaide,2017,22,14,,8,8-0-3,6-0-5,313.290 (52%),2168,239.237 (50%),1671,129.7,56,
6,Sydney,2017,22,14,,8,7-0-4,7-0-4,305.263 (54%),2093,237.229 (51%),1651,126.8,56,
7,Essendon,2017,22,12,,10,8-0-3,4-0-7,311.269 (54%),2135,288.276 (51%),2004,106.5,48,
8,West Coast,2017,22,12,,10,8-0-3,4-0-7,288.236 (55%),1964,266.262 (50%),1858,105.7,48,
9,Melbourne,2017,22,12,,10,6-0-5,6-0-5,302.223 (58%),2035,280.254 (52%),1934,105.2,48,
10,Western Bulldogs,2017,22,11,,11,7-0-4,4-0-7,260.297 (47%),1857,279.239 (54%),1913,97.1,44,
11,St Kilda,2017,22,11,,11,7-0-4,4-0-7,271.299 (48%),1925,291.240 (55%),1986,96.9,44,
12,Hawthorn,2017,22,10,1,11,2004-06-01 00:00:00,4-0-7,273.226 (55%),1864,301.249 (55%),2055,90.7,42,
13,Collingwood,2017,22,9,1,12,2006-04-01 00:00:00,5-0-6,278.276 (50%),1944,287.241 (54%),1963,99,38,
14,Fremantle,2017,22,8,,14,5-0-6,3-0-8,231.221 (51%),1607,317.258 (55%),2160,74.4,32,
15,North Melbourne,2017,22,6,,16,3-0-8,3-0-8,290.243 (54%),1983,331.278 (54%),2264,87.6,24,
16,Carlton,2017,22,6,,16,4-0-7,2-0-9,232.202 (53%),1594,299.244 (55%),2038,78.2,24,
17,Gold Coast,2017,22,6,,16,4-0-7,2-0-9,257.214 (55%),1756,337.289 (54%),2311,76,24,
18,Brisbane Lions,2017,22,5,,17,3-0-8,2-0-9,276.221 (56%),1877,367.324 (53%),2526,74.3,20,
2016 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Sydney,2016,22,17,,5,9-0-2,8-0-3,326.265 (55%),2221,208.221 (48%),1469,151.2,68,
2,Geelong,2016,22,17,,5,10-0-1,7-0-4,325.285 (53%),2235,227.192 (54%),1554,143.8,68,
3,Hawthorn,2016,22,17,,5,10-0-1,7-0-4,312.262 (54%),2134,263.222 (54%),1800,118.6,68,
4,Greater Western Sydney,2016,22,16,,6,9-0-2,7-0-4,351.274 (56%),2380,240.223 (52%),1663,143.1,64,
5,Adelaide,2016,22,16,,6,9-0-2,7-0-4,363.305 (54%),2483,260.235 (53%),1795,138.3,64,
6,West Coast,2016,22,16,,6,10-0-1,6-0-5,323.243 (57%),2181,240.238 (50%),1678,130,64,
7,Western Bulldogs,2016,22,15,,7,8-0-3,7-0-4,268.249 (52%),1857,237.187 (56%),1609,115.4,60,
8,North Melbourne,2016,22,12,,10,7-0-4,5-0-6,284.252 (53%),1956,264.275 (49%),1859,105.2,48,
9,St Kilda,2016,22,12,,10,7-0-4,5-0-6,286.237 (55%),1953,300.241 (55%),2041,95.7,48,
10,Port Adelaide,2016,22,10,,12,4-0-7,6-0-5,300.255 (54%),2055,275.289 (49%),1939,106,40,
11,Melbourne,2016,22,10,,12,7-0-4,3-0-8,286.228 (56%),1944,288.263 (52%),1991,97.6,40,
12,Collingwood,2016,22,9,,13,6-0-5,3-0-8,276.254 (52%),1910,294.234 (56%),1998,95.6,36,
13,Richmond,2016,22,8,,14,6-0-5,2-0-9,247.231 (52%),1713,314.271 (54%),2155,79.5,32,
14,Carlton,2016,22,7,,15,5-0-6,2-0-9,224.224 (50%),1568,287.256 (53%),1978,79.3,28,
15,Gold Coast,2016,22,6,,16,5-0-6,1-0-10,258.230 (53%),1778,328.305 (52%),2273,78.2,24,
16,Fremantle,2016,22,4,,18,3-0-8,1-0-10,227.212 (52%),1574,306.283 (52%),2119,74.3,16,
17,Brisbane Lions,2016,22,3,,19,2-0-9,1-0-10,254.246 (51%),1770,429.298 (59%),2872,61.6,12,
18,Essendon,2016,22,3,,19,3-0-8,0-0-11,200.237 (46%),1437,350.256 (58%),2356,61,12,
2015 Ladder,,,,,,,,,,,,,,,
#,Team,Year,P,W,D,L,Home,Away,GF-BF,For,GA-BA,Agn,%,Pts,
1,Fremantle,2015,22,17,,5,9-0-2,8-0-3,273.219 (55%),1857,225.214 (51%),1564,118.7,68,
2,West Coast,2015,22,16,1,5,9-0-2,2003-07-01 00:00:00,340.290 (54%),2330,229.198 (54%),1572,148.2,66,
3,Hawthorn,2015,22,16,,6,8-0-3,8-0-3,365.262 (58%),2452,221.222 (50%),1548,158.4,64,
4,Sydney,2015,22,16,,6,8-0-3,8-0-3,292.254 (53%),2006,223.240 (48%),1578,127.1,64,
5,Richmond,2015,22,15,,7,6-0-5,9-0-2,280.250 (53%),1930,220.248 (47%),1568,123.1,60,
6,Western Bulldogs,2015,22,14,,8,9-0-2,5-0-6,310.241 (56%),2101,268.217 (55%),1825,115.1,56,
7,Adelaide,2015,21,13,,8,7-0-3,6-0-5,308.259 (54%),2107,266.225 (54%),1821,115.7,54,
8,North Melbourne,2015,22,13,,9,7-0-4,6-0-5,303.244 (55%),2062,280.257 (52%),1937,106.5,52,
9,Port Adelaide,2015,22,12,,10,6-0-5,6-0-5,296.226 (57%),2002,276.218 (56%),1874,106.8,48,
10,Geelong,2015,21,11,1,9,6-0-5,2004-05-01 00:00:00,272.221 (55%),1853,266.237 (53%),1833,101.1,48,
11,Greater Western Sydney,2015,22,11,,11,8-0-3,3-0-8,268.264 (50%),1872,272.259 (51%),1891,99,44,
12,Collingwood,2015,22,10,,12,4-0-7,6-0-5,287.250 (53%),1972,270.236 (53%),1856,106.3,40,
13,Melbourne,2015,22,7,,15,4-0-7,3-0-8,225.223 (50%),1573,301.238 (56%),2044,77,28,
14,St Kilda,2015,22,6,1,15,2009-01-01 00:00:00,5-0-6,241.249 (49%),1695,319.248 (56%),2162,78.4,26,
15,Essendon,2015,22,6,,16,3-0-8,3-0-8,226.224 (50%),1580,312.262 (54%),2134,74,24,
16,Gold Coast,2015,22,4,1,17,2007-03-01 00:00:00,1-0-10,235.223 (51%),1633,326.284 (53%),2240,72.9,18,
17,Brisbane Lions,2015,22,4,,18,3-0-8,1-0-10,224.213 (51%),1557,341.260 (57%),2306,67.5,16,
18,Carlton,2015,22,4,,18,3-0-8,1-0-10,219.211 (51%),1525,349.260 (57%),2354,64.8,16,
